,Year,Region,Accommodation,Administrative and Support Services,Agriculture,Construction,Education and Training,"Electricity, Gas, Water, and Waste services",Financial and Insurance Services,Food and beverage services,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services","Forestry, Fishing, and Mining","GST on Production, Import Duties and Other Taxes",Gross Domestic Product,Health Care and Social Assistance,"Information Media, Telecommunications and Other Services",Manufacturing,Other Manufacturing,Owner-Occupied Property Operation,Primary Manufacturing,"Professional, Scientific, and Technical Services",Public Administration and Safety,"Rental, Hiring and Real Estate Services",Retail Trade,Total,Total All Industries,"Transport, Postal and Warehousing",Wholesale Trade,Population
43,2002,New Zealand,891.0,2321.0,8048.0,5484.0,5207.0,3287.0,5906.0,1630.0,6935.0,3648.0,8740.0,128712.0,6171.0,9539.0,19551.0,7038.0,8707.0,12513.0,8426.0,4794.0,7187.0,6130.0,32873.0,119973.0,5612.0,7433.0,3915400.0
44,2002,Northland,25.0,28.0,510.0,159.0,141.0,44.0,65.0,46.0,243.0,199.0,232.0,3420.0,212.0,126.0,506.0,,293.0,,111.0,91.0,186.0,178.0,23539.0,3188.0,140.0,128.0,145300.0
45,2002,Otago,72.0,87.0,502.0,313.0,404.0,168.0,153.0,132.0,355.0,187.0,366.0,5396.0,325.0,331.0,622.0,214.0,416.0,408.0,205.0,155.0,302.0,284.0,28447.0,5030.0,238.0,135.0,
46,2002,Southland,21.0,20.0,679.0,135.0,93.0,147.0,60.0,38.0,270.0,123.0,216.0,3182.0,128.0,123.0,568.0,,141.0,,76.0,73.0,125.0,138.0,34070.0,2966.0,162.0,117.0,
47,2002,Taranaki,15.0,49.0,723.0,133.0,112.0,285.0,63.0,28.0,1271.0,986.0,322.0,4801.0,161.0,111.0,826.0,160.0,189.0,666.0,135.0,64.0,138.0,143.0,45334.0,4479.0,112.0,206.0,105900.0
48,2002,Tasman/Nelson,17.0,32.0,167.0,127.0,77.0,36.0,47.0,32.0,224.0,188.0,162.0,2380.0,123.0,99.0,419.0,74.0,197.0,345.0,96.0,49.0,144.0,125.0,27742.0,2219.0,162.0,82.0,85800.0
49,2002,Total North Island,618.0,1868.0,5360.0,4097.0,3884.0,2640.0,5152.0,1130.0,5331.0,2691.0,6852.0,100906.0,4662.0,7894.0,15250.0,,6704.0,,7250.0,3981.0,5692.0,4714.0,33943.0,94054.0,4191.0,6274.0,2972800.0
50,2002,Total South Island,273.0,453.0,2688.0,1387.0,1323.0,647.0,754.0,500.0,1605.0,957.0,1888.0,27807.0,1509.0,1646.0,4301.0,,2002.0,,1176.0,812.0,1494.0,1416.0,29497.0,25919.0,1421.0,1158.0,942700.0
51,2002,Waikato,70.0,94.0,1681.0,522.0,519.0,502.0,242.0,127.0,997.0,495.0,772.0,11366.0,548.0,561.0,1691.0,478.0,735.0,1214.0,408.0,306.0,619.0,512.0,30637.0,10595.0,392.0,571.0,371000.0
52,2002,Wellington,112.0,424.0,218.0,611.0,627.0,530.0,1763.0,205.0,617.0,87.0,1274.0,18698.0,763.0,2387.0,2024.0,703.0,1097.0,1322.0,1998.0,1713.0,796.0,664.0,42198.0,17424.0,618.0,789.0,443100.0
53,2002,West Coast,14.0,10.0,127.0,42.0,28.0,,22.0,26.0,123.0,,56.0,830.0,45.0,28.0,78.0,15.0,52.0,63.0,16.0,28.0,28.0,41.0,26677.0,773.0,45.0,18.0,31100.0
54,2003,Auckland,267.0,1127.0,170.0,1950.0,1869.0,943.0,2993.0,510.0,1156.0,213.0,3488.0,49260.0,2133.0,4428.0,8004.0,3405.0,3434.0,4598.0,4223.0,1134.0,3433.0,2507.0,38566.0,45772.0,2273.0,4162.0,1277300.0
55,2003,Bay of Plenty,49.0,120.0,463.0,379.0,252.0,153.0,164.0,93.0,487.0,333.0,488.0,6893.0,400.0,283.0,1140.0,263.0,524.0,876.0,327.0,174.0,415.0,410.0,27245.0,6405.0,441.0,284.0,253000.0
56,2003,Canterbury,129.0,351.0,889.0,795.0,711.0,320.0,531.0,247.0,572.0,251.0,1119.0,15794.0,894.0,1120.0,2571.0,1168.0,1171.0,1403.0,796.0,472.0,912.0,868.0,30895.0,14675.0,830.0,817.0,511200.0
57,2003,Gisborne,6.0,14.0,117.0,66.0,57.0,17.0,14.0,12.0,118.0,101.0,77.0,1085.0,71.0,43.0,130.0,22.0,65.0,108.0,40.0,40.0,59.0,60.0,23740.0,1008.0,67.0,27.0,45700.0
58,2003,Hawke's Bay,21.0,68.0,472.0,203.0,146.0,61.0,83.0,41.0,209.0,148.0,312.0,4401.0,222.0,131.0,1143.0,172.0,273.0,971.0,188.0,123.0,211.0,220.0,29538.0,4090.0,192.0,143.0,149000.0
59,2003,Manawatu-Whanganui,36.0,80.0,492.0,328.0,401.0,222.0,143.0,69.0,355.0,132.0,414.0,5848.0,367.0,283.0,719.0,277.0,404.0,442.0,253.0,407.0,293.0,361.0,25604.0,5434.0,223.0,221.0,228400.0
60,2003,Marlborough,10.0,10.0,99.0,69.0,33.0,,23.0,20.0,127.0,,88.0,1249.0,50.0,42.0,282.0,47.0,98.0,235.0,27.0,51.0,70.0,63.0,30091.0,1160.0,65.0,22.0,41500.0
61,2003,New Zealand,851.0,2553.0,5750.0,6053.0,5553.0,3698.0,6430.0,1626.0,7337.0,3639.0,9574.0,135181.0,6586.0,10420.0,21023.0,7405.0,9221.0,13618.0,9095.0,5039.0,7856.0,6826.0,33883.0,125607.0,6129.0,7259.0,3989600.0
62,2003,Northland,25.0,32.0,334.0,180.0,147.0,52.0,72.0,47.0,247.0,195.0,235.0,3317.0,218.0,138.0,490.0,,294.0,,125.0,98.0,206.0,198.0,22566.0,3082.0,158.0,74.0,147000.0
63,2003,Otago,71.0,109.0,371.0,345.0,412.0,191.0,185.0,136.0,381.0,190.0,408.0,5755.0,346.0,370.0,747.0,237.0,442.0,510.0,232.0,157.0,311.0,325.0,29925.0,5347.0,267.0,141.0,
64,2003,Southland,20.0,25.0,469.0,155.0,91.0,173.0,70.0,39.0,299.0,126.0,220.0,3102.0,140.0,132.0,570.0,,160.0,,81.0,76.0,127.0,159.0,33032.0,2882.0,175.0,95.0,
65,2003,Taranaki,15.0,50.0,423.0,145.0,114.0,402.0,72.0,29.0,1401.0,999.0,328.0,4672.0,169.0,112.0,887.0,165.0,213.0,722.0,155.0,65.0,141.0,164.0,43953.0,4344.0,129.0,59.0,106300.0
66,2003,Tasman/Nelson,17.0,32.0,146.0,145.0,85.0,38.0,54.0,33.0,205.0,167.0,175.0,2475.0,131.0,107.0,408.0,76.0,217.0,333.0,110.0,54.0,168.0,140.0,28416.0,2300.0,174.0,73.0,87100.0
67,2003,Total North Island,589.0,2016.0,3698.0,4498.0,4192.0,2946.0,5546.0,1125.0,5644.0,2697.0,7507.0,106006.0,4975.0,8619.0,16357.0,,7081.0,,7830.0,4201.0,6237.0,5228.0,34958.0,98500.0,4567.0,6098.0,3032400.0
68,2003,Total South Island,262.0,537.0,2053.0,1555.0,1360.0,752.0,884.0,501.0,1693.0,941.0,2067.0,29175.0,1611.0,1801.0,4667.0,,2140.0,,1265.0,837.0,1619.0,1599.0,30476.0,27108.0,1562.0,1161.0,957300.0
69,2003,Waikato,66.0,105.0,1083.0,606.0,541.0,583.0,280.0,126.0,1061.0,478.0,776.0,10957.0,586.0,627.0,1566.0,428.0,760.0,1138.0,465.0,319.0,629.0,573.0,29103.0,10181.0,439.0,351.0,376500.0
70,2003,Wellington,103.0,419.0,144.0,641.0,665.0,513.0,1725.0,198.0,610.0,97.0,1389.0,19573.0,809.0,2574.0,2279.0,817.0,1113.0,1462.0,2054.0,1842.0,851.0,734.0,43572.0,18184.0,645.0,777.0,449200.0
71,2003,West Coast,14.0,11.0,79.0,46.0,28.0,,21.0,26.0,110.0,,57.0,801.0,50.0,31.0,88.0,16.0,51.0,71.0,20.0,28.0,32.0,45.0,25599.0,744.0,50.0,14.0,31300.0
72,2004,Auckland,304.0,1230.0,175.0,2235.0,2057.0,1163.0,3435.0,577.0,1324.0,160.0,3779.0,53178.0,2306.0,4804.0,8275.0,3661.0,3677.0,4615.0,4552.0,1213.0,3680.0,2626.0,40507.0,49398.0,2476.0,4453.0,1312800.0
73,2004,Bay of Plenty,57.0,136.0,521.0,408.0,277.0,222.0,187.0,109.0,509.0,286.0,521.0,7332.0,438.0,300.0,1069.0,288.0,569.0,781.0,361.0,187.0,478.0,437.0,28506.0,6810.0,462.0,307.0,257200.0
74,2004,Canterbury,147.0,359.0,903.0,918.0,765.0,390.0,624.0,278.0,637.0,247.0,1213.0,17064.0,1001.0,1186.0,2658.0,1216.0,1287.0,1441.0,881.0,510.0,1030.0,916.0,32739.0,15851.0,885.0,866.0,521200.0
75,2004,Gisborne,7.0,14.0,123.0,75.0,62.0,17.0,15.0,14.0,95.0,78.0,78.0,1098.0,75.0,46.0,118.0,21.0,68.0,97.0,38.0,44.0,67.0,65.0,23923.0,1020.0,65.0,28.0,45900.0
76,2004,Hawke's Bay,25.0,74.0,498.0,219.0,159.0,79.0,101.0,47.0,249.0,169.0,334.0,4702.0,236.0,147.0,1167.0,185.0,290.0,982.0,193.0,127.0,239.0,235.0,31346.0,4368.0,205.0,157.0,150000.0
77,2004,Manawatu-Whanganui,41.0,82.0,501.0,343.0,436.0,271.0,162.0,77.0,396.0,124.0,442.0,6224.0,406.0,305.0,736.0,290.0,407.0,446.0,283.0,421.0,329.0,381.0,27168.0,5782.0,236.0,241.0,229100.0
78,2004,Marlborough,12.0,11.0,132.0,79.0,36.0,,27.0,23.0,134.0,,98.0,1374.0,51.0,47.0,282.0,66.0,109.0,215.0,30.0,50.0,87.0,69.0,32558.0,1276.0,71.0,28.0,42200.0
79,2004,New Zealand,978.0,2733.0,6251.0,6806.0,6044.0,4210.0,7289.0,1854.0,7562.0,3352.0,10271.0,144502.0,7195.0,11070.0,21268.0,7890.0,9840.0,13378.0,9672.0,5310.0,8641.0,7202.0,35586.0,134231.0,6586.0,7932.0,4060600.0
80,2004,Northland,29.0,39.0,372.0,209.0,159.0,62.0,86.0,54.0,212.0,150.0,254.0,3570.0,247.0,145.0,491.0,,313.0,,121.0,100.0,241.0,214.0,23990.0,3316.0,184.0,99.0,148800.0
81,2004,Otago,83.0,125.0,365.0,384.0,437.0,241.0,192.0,158.0,417.0,177.0,439.0,6171.0,382.0,406.0,726.0,231.0,478.0,494.0,258.0,169.0,359.0,348.0,31679.0,5732.0,299.0,146.0,
82,2004,Southland,23.0,23.0,486.0,168.0,100.0,135.0,78.0,43.0,263.0,128.0,229.0,3223.0,158.0,143.0,574.0,,178.0,,87.0,73.0,142.0,165.0,34212.0,2994.0,190.0,102.0,
83,2004,Taranaki,18.0,52.0,498.0,165.0,128.0,320.0,79.0,35.0,1198.0,878.0,329.0,4656.0,173.0,123.0,807.0,174.0,214.0,633.0,178.0,70.0,158.0,173.0,43591.0,4327.0,138.0,120.0,106800.0
84,2004,Tasman/Nelson,20.0,38.0,200.0,162.0,88.0,42.0,63.0,39.0,216.0,174.0,190.0,2671.0,146.0,117.0,388.0,85.0,241.0,303.0,122.0,55.0,172.0,151.0,30212.0,2481.0,183.0,81.0,88400.0
