Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0121CCZ,2013.03,17478,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2014.03,18095,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2015.03,20284,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2016.03,21760,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2017.03,20935,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2018.03,22484,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2019.03,23126,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2020.03,23675,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2021.03,23410,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2022.03,23967,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121DD1,2000.03,2526,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2001.03,2472,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2002.03,2640,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2003.03,2946,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2004.03,3366,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2005.03,3502,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2006.03,3844,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2007.03,3696,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0121DD1,2008.03,4034,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Electricity, Gas, Water, and Waste services",,
